Crop,Variety,Breeder,Altitude_Zone,Maturity_Days,Yield_Bags_Per_Acre,Special_Attributes
Maize,H614,Kenya Seed Company,Highland,180-240,35-40,Excellent grain quality; tolerant to common blights.
Maize,H6213,Kenya Seed Company,Highland,170-210,38-42,High yielding; strong stalk preventing lodging.
Maize,H513,Kenya Seed Company,Medium Altitude,120-150,25-30,Fast maturing; good performance in transitional climates.
Maize,Katumani Composite B,KALRO,Dryland,90-120,15-18,Highly drought-tolerant; ensures harvest in low rainfall.
Maize,DH04,KALRO,Dryland,90-110,18-22,Extremely fast maturing; escapes late-season heat stress.
Beans,KAT B1,KALRO,Dryland/Medium,60-65,8-10,Yellow bean; highly tolerant to drought and heat.
Beans,KAT X56,KALRO,Dryland,65-70,10-12,Red mottled; resistant to bean common mosaic virus.
Beans,Chelalang,KALRO,Medium/Highland,75-80,12-15,High yield; resistant to root rot and angular leaf spot.
Potatoes,Shangi,KALRO,Medium/Highland,80-90,300-350,Very fast cooking; high tuber density per plant.
Potatoes,Unica,KALRO,Dryland/Medium,90-100,350-400,Heat tolerant; highly resistant to late blight.
Sorghum,Gadam,KALRO,Dryland,100-110,12-15,Ideal for commercial brewing; highly drought resilient.
Sorghum,Seredo,KALRO,Medium/Dryland,110-120,15-18,Brown grain; excellent bird resistance.
Tomatoes,Rambo F1,Royal Seeds,Medium/Highland,75-80,150-180,Determinate hybrid; excellent disease tolerance.
Tomatoes,Money Maker,Simlaw Seeds,Medium/Highland,80-90,100-120,Reliable open-pollinated variety.
Kale (Sukuma),Thousand Headed,Simlaw Seeds,Medium/Highland,60-70,100-120,Continuous harvesting up to 9 months.
Kale (Sukuma),Collard Mfalme F1,Royal Seeds,Medium/Highland,45-60,140-160,High yielding hybrid; soft large leaves.
Wheat,KS Mwamba,Kenya Seed Company,Highland,130-150,30-35,Stem rust resistant; strong lodging resistance.
Wheat,Robin,KALRO,Highland,120-140,28-32,Consistent performance across environments.
Avocado,Hass,KALRO/HCDA,Medium/Highland,1000-1200,50-70,High export demand; rich oil content.
Avocado,Fuerte,KALRO/HCDA,Medium/Highland,1000-1200,60-80,Pear-shaped; great local market demand.
Tea,TRFK 31/8,Tea Research Institute,Highland Tea Zone,1000-1200,50-70,Drought tolerant; standard yield control clone.
Tea,TRFK 306 (Purple Tea),Tea Research Institute,Highland Tea Zone,1000-1200,40-60,Rich in anthocyanin; premium specialty tea.

